ID;case;order;nv;SS;HT;C;NT;ST;HM;SHM;SH;SSS;SHT;CS;NTS;STS;Score3;Score3W1;Score3W2;Score3WEXP2
1;A;P;I;326,44633;35,84103;26;57,64404;290,6053;3;0,428571429;0,543575573;0,15150597;0,658579718;0,454545455;0,721015587;0,182549637;0,475421563;0,49072039;0,363062605;0,431061559
2;B;P;I;103,94625;48,4607;14;51,70504;55,48555;7;1;0,747524926;0,799249637;0,495049853;0,818181818;0,816089619;0,890374695;0,818042765;0,806312967;0,807111861;0,800901591
3;B;P;I;308,02157;72,60407;24;90,73381;235,4175;6;0,857142857;0,519667461;0,20514425;0,182192065;0,515151515;0,19130051;0,348691817;0,393702826;0,421066738;0,490418863;0,475794564
4;B;P;D;81,6436575;16,2163575;21;48,38599;65,4273;7;1;0,956441363;0,864177088;0,912882726;0,606060606;0,86922238;0,860445181;0,823042382;0,794575419;0,703649121;0,844847128
5;B;P;I;335,61381;86,66391;19;61,895;248,9499;7;1;0,5;0,124817543;0;0,666666667;0,652964416;0,307952696;0,531895945;0,560646921;0,573562611;0,493654841
6;A;P;I;207,24888;32,94798;41;102,6838;174,3009;6;0,857142857;0,776605838;0,498514355;0,696068818;0;0;0,532682574;0,327322103;0,436429471;0,679036532;0,521473562
7;B;P;I;137,9712313;51,28150125;12;47,55753;86,68973;7;1;0,729248488;0,700195893;0,458496975;0,878787879;0,882484719;0,796434902;0,821738997;0,821430927;0,842603711;0,783429939
8;B;P;I;378,4886613;27,24546125;25;68,82331;351,2432;7;1;0,884981973;0;0,769963945;0,484848485;0,54205309;0;0,477970887;0,544659802;0,770672345;0,563703108
9;A;P;D;91,2539;25,0646;15;46,26238;66,1893;6;0,857142857;0,827683563;0,836199688;0,798224268;0,787878788;0,903218029;0,85815119;0,844232892;0,850965937;0,859764189;0,825349276
10;B;P;I;156,15366;68,60256;8;44,9536;87,5511;3;0,428571429;0,331308193;0,647263089;0,234044957;1;0,924169535;0,793841759;0,762329872;0,695744906;0,595613088;0,614114536
11;A;P;I;246,39424;39,81324;23;81,88554;206,581;7;1;0,803553252;0,384554131;0,607106504;0,545454545;0,33294737;0,435503738;0,529364727;0,441767846;0,384225554;0,647016197
12;A;P;I;156,56784;62,97583;12;47,09903;93,59201;7;1;0,653478994;0,646057325;0,306957989;0,878787879;0,889824581;0,775655675;0,799436782;0,741270111;0,747411444;0,740350386
13;A;P;D;151,24982;49,97402;19;57,45828;101,2758;7;1;0,737719875;0,661539179;0,475439751;0,666666667;0,723989312;0,752523722;0,720224894;0,720224894;0,735610329;0,723657535
14;A;P;D;34,98846;9,49348;23;40,21669;25,49498;4;0,571428571;0,785714286;1;1;0,545454545;1;0,98066093;0,82795744;0,811711887;0,747680891;0,774386012
15;B;P;D;212,0968263;34,78652625;35;60,41697;177,3103;7;1;0,836122163;0,484400983;0,672244327;0,181818182;0,676625347;0,523622813;0,554547126;0,580588739;0,641462641;0,59442133
16;B;P;I;222,733;13,405;24;77,41995;209,328;7;1;0,974656614;0,453436885;0,949313228;0,515151515;0,40443443;0,427233929;0,580369122;0,618661214;0,736789821;0,722924668
17;A;P;I;51,60565;32,53457;8;46,54389;19,07108;7;1;0,850712961;0,951623929;0,701425922;1;0,898711498;1;0,937356115;0,933356237;0,910427777;0,92535648
18;B;P;D;74,51852;13,22784;34;50,63198;61,29068;5;0,714285714;0,83294732;0,884919835;0,951608926;0,212121212;0,833267619;0,872898424;0,687808644;0,687781952;0,736134819;0,687728569
19;A;P;D;71,66248;18,008;30;44,87777;53,65448;7;1;0,944833014;0,893234357;0,889666029;0,333333333;0,925383454;0,895887108;0,774859227;0,829059128;0,868999274;0,779721618
20;A;P;I;133,65715;43,6933;12;63,49974;89,96385;7;1;0,778413701;0,712755074;0,556827401;0,878787879;0,627275057;0,786578205;0,767763711;0,767763711;0,800121437;0,805548371
21;A;P;D;218,55149;36,60839;30;49,79478;181,9431;7;1;0,824318006;0,465610124;0,648636013;0,333333333;0,846669872;0,509675827;0,62849926;0,597246188;0,590001602;0,622911293
22;A;P;D;80,64363;14,7933;13;50,23072;65,85033;7;1;0,965661588;0,867088375;0,931323177;0,848484848;0,839691159;0,859171655;0,878252313;0,880608495;0,892293453;0,90974492
23;A;P;D;103,20102;20,431;20;48,388;82,77002;6;0,857142857;0,857705425;0,801419156;0,858267992;0,636363636;0,869190203;0,80823514;0,792873601;0,798910254;0,842511222;0,790002406
24;B;P;D;108,19186;18,95608;29;50,86497;89,23578;5;0,714285714;0,795833104;0,78688979;0,877380494;0,363636364;0,829537816;0,788770051;0,694444334;0,694444334;0,621541797;0,686018156
25;B;P;D;119,22538;11,91058;21;54,3616;107,3148;6;0,857142857;0,912910637;0,754768936;0,968678417;0,606060606;0,773562279;0,734343388;0,756719228;0,749260614;0,734343388;0,791556317
26;B;P;D;86,77499;45,58403;19;48,82294;41,19096;2;0,285714286;0,409020491;0,84923872;0,532326696;0,666666667;0,862227499;0,933408379;0,717830759;0,723762499;0,801553445;0,604529007
27;A;P;I;226,9136;31,324;20;72,34607;195,5896;7;1;0,858556444;0,441266295;0,717112889;0,636363636;0,485659253;0,46859321;0,612293136;0,610870966;0,624578504;0,705517434
28;B;P;D;137,0514263;22,38602625;20;49,6382;114,6654;7;1;0,916467057;0,702873635;0,832934114;0,636363636;0,849176471;0,712214499;0,778555416;0,784162965;0,865403918;0,795378062
