ID;QF1;QF2;QF3;QF4;c1_2;c1_2w;c1_3;c1_3w;c1_4;c1_4w;c2_3;c2_3w;c2_4;c2_4w;c3_4;c3_4w;QF1B;QF2B;QF3B;QF4B;Tot
1;2;5;2;3;QF2;2;QF3;1;QF1;0;QF2;0;QF2;0;QF3;1;0;2;2;0;4
2;2;4;2;4;QF1;1;QF1;2;QF1;1;QF2;1;QF2;1;QF3;1;4;2;1;0;7
3;2;4;3;3;QF2;2;QF3;1;QF4;1;QF2;1;QF2;1;QF3;0;0;4;1;1;6
4;4;2;2;4;QF1;1;QF1;1;QF4;1;QF3;1;QF4;2;QF4;2;2;0;1;5;8
5;4;3;2;3;QF1;0;QF1;1;QF4;0;QF3;1;QF4;1;QF4;1;1;0;1;2;4
6;2;4;4;2;QF2;2;QF3;1;QF1;0;QF2;0;QF2;1;QF3;1;0;3;2;0;5
7;2;3;3;4;QF1;1;QF1;1;QF1;2;QF2;0;QF2;1;QF3;1;4;1;1;0;6
8;3;5;3;1;QF2;2;QF1;0;QF1;2;QF2;2;QF2;0;QF3;0;2;4;0;0;6
9;5;1;2;4;QF1;2;QF1;2;QF1;1;QF3;1;QF4;2;QF4;1;5;0;1;3;9
10;2;4;4;2;QF2;1;QF3;2;QF1;0;QF2;0;QF2;2;QF3;2;0;3;4;0;7
11;5;1;4;2;QF1;2;QF1;0;QF1;2;QF3;2;QF4;0;QF3;2;4;0;4;0;8
12;1;6;3;2;QF2;2;QF3;2;QF4;2;QF2;1;QF2;1;QF3;2;0;4;4;2;10
13;3;3;3;3;QF2;1;QF1;1;QF1;1;QF2;1;QF2;1;QF3;1;2;3;1;0;6
14;3;4;2;3;QF2;1;QF1;1;QF4;0;QF2;2;QF2;1;QF4;2;1;4;0;2;7
15;3;4;2;3;QF1;0;QF1;1;QF1;1;QF2;2;QF4;0;QF4;1;2;2;0;1;5
16;3;4;3;2;QF2;1;QF3;1;QF1;1;QF2;1;QF2;2;QF3;1;1;4;2;0;7
17;2;4;4;2;QF2;2;QF3;2;QF4;0;QF2;0;QF2;1;QF3;0;0;3;2;0;5
18;2;4;3;3;QF2;2;QF3;1;QF4;1;QF2;1;QF2;1;QF3;0;0;4;1;1;6
19;1;6;3;2;QF2;2;QF3;2;QF4;1;QF2;2;QF2;2;QF3;1;0;6;3;1;10
20;3;3;3;3;QF2;0;QF3;1;QF1;0;QF2;1;QF2;2;QF4;1;0;3;1;1;5
21;2;4;1;5;QF1;1;QF1;0;QF1;0;QF2;0;QF2;0;QF4;1;1;0;0;1;2
22;1;3;4;4;QF2;2;QF3;2;QF4;2;QF3;1;QF2;1;QF3;1;0;3;4;2;9
23;5;2;2;3;QF1;2;QF3;1;QF4;0;QF3;1;QF2;1;QF3;0;2;1;2;0;5
24;3;3;3;3;QF2;2;QF3;0;QF4;1;QF3;1;QF4;1;QF4;0;0;2;1;2;5
25;2;2;6;2;QF2;0;QF3;2;QF1;0;QF2;0;QF2;0;QF3;0;0;0;2;0;2
26;2;3;4;3;QF2;1;QF3;2;QF4;1;QF3;1;QF2;0;QF3;1;0;1;4;1;6
27;2;3;4;3;QF2;1;QF3;1;QF4;0;QF3;1;QF2;1;QF3;1;0;2;3;0;5
28;2;4;3;3;QF2;2;QF3;1;QF4;0;QF2;2;QF2;2;QF3;1;0;6;2;0;8
