ID;QF1;QF2;QF3;QF4;c1_2;c1_2w;c1_3;c1_3w;c1_4;c1_4w;c2_3;c2_3w;c2_4;c2_4w;c3_4;c3_4w;QF1B;QF2B;QF3B;QF4B;Tot
1;1;5;3;3;QF2;2;QF3;1;QF4;1;QF2;2;QF2;2;QF3;0;0;6;1;1;8
1;1;5;3;3;QF2;2;QF3;1;QF4;1;QF2;2;QF2;2;QF3;0;0;6;1;1;8
2;1;4;4;3;QF2;2;QF3;2;QF4;1;QF2;0;QF2;2;QF3;2;0;4;4;1;9
2;1;4;4;3;QF2;2;QF3;2;QF4;1;QF2;0;QF2;2;QF3;2;0;4;4;1;9
3;3;2;3;4;QF1;2;QF1;1;QF1;1;QF3;1;QF4;1;QF4;2;4;0;1;3;8
3;3;2;3;4;QF1;2;QF1;1;QF1;1;QF3;1;QF4;1;QF4;2;4;0;1;3;8
4;0;5;4;3;QF2;2;QF3;2;QF4;2;QF2;1;QF2;1;QF3;1;0;4;3;2;9
4;0;5;4;3;QF2;2;QF3;2;QF4;2;QF2;1;QF2;1;QF3;1;0;4;3;2;9
5;2;4;2;4;QF2;2;QF3;1;QF4;2;QF3;1;QF2;1;QF4;1;0;3;2;3;8
5;2;4;2;4;QF2;2;QF3;1;QF4;2;QF3;1;QF2;1;QF4;1;0;3;2;3;8
6;0;6;4;2;QF2;2;QF3;2;QF4;2;QF2;2;QF2;2;QF3;1;0;6;3;2;11
6;0;6;4;2;QF2;2;QF3;2;QF4;2;QF2;2;QF2;2;QF3;1;0;6;3;2;11
7;3;4;1;4;QF2;1;QF1;1;QF4;1;QF2;2;QF2;1;QF3;1;1;4;1;1;7
7;3;4;1;4;QF2;1;QF1;1;QF4;1;QF2;2;QF2;1;QF3;1;1;4;1;1;7
8;3;4;2;3;QF2;2;QF3;1;QF1;0;QF2;2;QF2;2;QF3;1;0;6;2;0;8
8;3;4;2;3;QF2;2;QF3;1;QF1;0;QF2;2;QF2;2;QF3;1;0;6;2;0;8
9;3;2;4;3;QF1;1;QF3;2;QF4;1;QF3;2;QF4;2;QF3;2;1;0;6;3;10
9;3;2;4;3;QF1;1;QF3;2;QF4;1;QF3;2;QF4;2;QF3;2;1;0;6;3;10
10;1;5;3;3;QF2;2;QF1;2;QF4;1;QF2;2;QF2;1;QF4;1;2;5;0;2;9
10;1;5;3;3;QF2;2;QF1;2;QF4;1;QF2;2;QF2;1;QF4;1;2;5;0;2;9
11;0;6;4;2;QF2;2;QF3;2;QF4;1;QF2;2;QF2;2;QF3;1;0;6;3;1;10
11;0;6;4;2;QF2;2;QF3;2;QF4;1;QF2;2;QF2;2;QF3;1;0;6;3;1;10
12;3;3;2;4;QF1;1;QF1;1;QF4;1;QF2;1;QF4;1;QF4;2;2;1;0;4;7
12;3;3;2;4;QF1;1;QF1;1;QF4;1;QF2;1;QF4;1;QF4;2;2;1;0;4;7
